Date,ClimDiv,USCRN
1896,-1.62,-99.99
1897,-1.81,-99.99
1898,-1.16,-99.99
1899,-3.27,-99.99
1900,-0.66,-99.99
1901,-1.09,-99.99
1902,-1.71,-99.99
1903,-2.31,-99.99
1904,-2.49,-99.99
1905,-1.93,-99.99
1906,-1.81,-99.99
1907,-1.91,-99.99
1908,-1.06,-99.99
1909,-1.51,-99.99
1910,-1.29,-99.99
1911,-0.7,-99.99
1912,-3.56,-99.99
1913,-1.88,-99.99
1914,-1.05,-99.99
1915,-2.35,-99.99
1916,-1.57,-99.99
1917,-3.41,-99.99
1918,-2.04,-99.99
1919,-0.86,-99.99
1920,-2.77,-99.99
1921,0.06,-99.99
1922,-1.04,-99.99
1923,-1.59,-99.99
1924,-2.29,-99.99
1925,-0.5,-99.99
1926,-1.73,-99.99
1927,-1.28,-99.99
1928,-1.45,-99.99
1929,-2.15,-99.99
1930,-1.1,-99.99
1931,-0.66,-99.99
1932,-0.5,-99.99
1933,-1.26,-99.99
1934,0.82,-99.99
1935,-0.53,-99.99
1936,-1.44,-99.99
1937,-1.7,-99.99
1938,-0.36,-99.99
1939,-0.37,-99.99
1940,-1.09,-99.99
1941,-0.88,-99.99
1942,-1.15,-99.99
1943,-0.92,-99.99
1944,-1.47,-99.99
1945,-1.34,-99.99
1946,-0.82,-99.99
1947,-1.26,-99.99
1948,-1.47,-99.99
1949,-1.69,-99.99
1950,-1.76,-99.99
1951,-1.51,-99.99
1952,-1.26,-99.99
1953,-0.54,-99.99
1954,0.14,-99.99
1955,-0.95,-99.99
1956,-1.58,-99.99
1957,-0.92,-99.99
1958,-1.43,-99.99
1959,-1,-99.99
1960,-1.83,-99.99
1961,-1.21,-99.99
1962,-1.98,-99.99
1963,-0.91,-99.99
1964,-1.34,-99.99
1965,-2.2,-99.99
1966,-1.22,-99.99
1967,-1.42,-99.99
1968,-1.82,-99.99
1969,-1.8,-99.99
1970,-1.76,-99.99
1971,-1.91,-99.99
1972,-1.11,-99.99
1973,-1.96,-99.99
1974,-0.78,-99.99
1975,-1.91,-99.99
1976,-0.8,-99.99
1977,-1.62,-99.99
1978,-1.86,-99.99
1979,-2.86,-99.99
1980,-0.79,-99.99
1981,-0.21,-99.99
1982,-1.89,-99.99
1983,-0.84,-99.99
1984,-1.82,-99.99
1985,-1.39,-99.99
1986,-0.56,-99.99
1987,-0.08,-99.99
1988,-0.59,-99.99
1989,-0.97,-99.99
1990,-0.16,-99.99
1991,-0.14,-99.99
1992,-0.38,-99.99
1993,-2.02,-99.99
1994,-0.96,-99.99
1995,-0.37,-99.99
1996,-1.17,-99.99
1997,-1.21,-99.99
1998,0.39,-99.99
1999,0.32,-99.99
2000,1.44,-99.99
2001,-0.94,-99.99
2002,0.68,-99.99
2003,-0.46,-99.99
2004,-0.2,-99.99
2005,0.47,-99.99
2006,0.96,0.8
2007,0.32,0.25
2008,-0.64,-0.78
2009,-0.57,-0.67
2010,-0.71,-0.82
2011,-0.37,-0.44
2012,2.04,2.03
2013,-0.21,-0.25
2014,-1.31,-1.26
2015,0.5,0.56
2016,1.79,1.85
2017,1.58,1.63
2018,0.72,0.87
2019,-0.63,-0.52
2020,0.53,0.58
2021,0.81,0.84
2022,1.11,1.18
2023,0.22,0.23
